URL,XPath 1,XPath 2,XPath 3,XPath 4,XPath 5,XPath 6,XPath 7,XPath 8,XPath 9,XPath 10
https://www.powerball.com/draw-result?gc=powerball&date=2014-06-18,6,9,29,52,59,7,$50 Million,None,None,TX
https://www.powerball.com/draw-result?gc=powerball&date=2014-06-21,5,6,37,41,54,26,$60 Million,None,CT,"IN, NY, VA"
https://www.powerball.com/draw-result?gc=powerball&date=2014-06-25,10,20,25,50,53,35,$70 Million,None,None,"FL, WI"
https://www.powerball.com/draw-result?gc=powerball&date=2014-06-28,8,12,34,43,56,9,$80 Million,None,"PA, RI",None
https://www.powerball.com/draw-result?gc=powerball&date=2014-07-02,8,18,45,53,58,35,$90 Million,None,NJ,"CT, MA, NM, SC"
https://www.powerball.com/draw-result?gc=powerball&date=2014-07-05,24,34,36,57,58,11,$106 Million,None,None,"IL, KY, MA"
https://www.powerball.com/draw-result?gc=powerball&date=2014-07-09,9,25,42,55,57,14,$125 Million,OH,NC,"FL, GA, NJ"
https://www.powerball.com/draw-result?gc=powerball&date=2014-07-12,2,3,7,23,51,26,$40 Million,None,OK,"MD, NY, PA, SC"
https://www.powerball.com/draw-result?gc=powerball&date=2014-07-16,5,15,18,26,32,35,$50 Million,None,None,"MD, SC, VA"
https://www.powerball.com/draw-result?gc=powerball&date=2014-07-19,10,17,25,45,53,9,$60 Million,CA,None,None
https://www.powerball.com/draw-result?gc=powerball&date=2014-07-23,4,10,12,22,31,3,$40 Million,None,None,"FL, IL, PA"
https://www.powerball.com/draw-result?gc=powerball&date=2014-07-26,24,28,30,38,39,16,$50 Million,None,None,TX
https://www.powerball.com/draw-result?gc=powerball&date=2014-07-30,13,30,42,49,53,29,$60 Million,None,None,TX
https://www.powerball.com/draw-result?gc=powerball&date=2014-08-02,12,26,44,46,47,29,$70 Million,None,None,"IL, MD, VA, WV"
https://www.powerball.com/draw-result?gc=powerball&date=2014-08-06,1,8,24,28,49,24,$80 Million,None,None,"GA, MA"
https://www.powerball.com/draw-result?gc=powerball&date=2014-08-09,3,12,31,34,51,24,$90 Million,CO,MD,"AR, CA, CO, NM, NY"
https://www.powerball.com/draw-result?gc=powerball&date=2014-08-13,8,37,39,40,52,24,$40 Million,None,None,OH
https://www.powerball.com/draw-result?gc=powerball&date=2014-08-16,7,8,17,48,59,9,$50 Million,None,None,"FL, MN"
https://www.powerball.com/draw-result?gc=powerball&date=2014-08-20,4,8,21,38,40,3,$60 Million,None,None,LA
https://www.powerball.com/draw-result?gc=powerball&date=2014-08-23,28,32,35,36,52,31,$70 Million,None,CO,KY
